"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10523062",6.625,0.72246614535738,0.408827816112509,1.76716484760557,0.077200624874115,0.999999712223997
"10402406",4.75,0.616671483671363,0.47880280188664,1.28794460107893,0.197765248275733,0.999999712223997
"10339900",3.5,-0.628030771217674,0.55825498669487,-1.12498909313092,0.260593656123648,0.999999712223997
"10342224",2.625,0.700439683933563,0.648286955847285,1.08044698048585,0.279943184681369,0.999999712223997
"10344301",2.875,0.637429948995572,0.616386305242963,1.03414034928033,0.301070555586393,0.999999712223997
"10342604",2.875,-0.637429409737581,0.616386343432243,-1.03413941033827,0.30107099447243,0.999999712223997
"10564057",2.875,-0.637429409737147,0.61638634343228,-1.0341394103375,0.301070994472788,0.999999712223997
"10340560",4.25,-0.514572801138359,0.502730083029709,-1.02355681211134,0.306044652931866,0.999999712223997
"10465840",10.625,0.306661485746586,0.314733705917293,0.974352222151802,0.32988168350183,0.999999712223997
"10392413",4.75,-0.459431288245807,0.474018086092591,-0.969227339051499,0.332431773399936,0.999999712223997
"10339081",3.375,0.540568484905545,0.565066975908034,0.956644978299925,0.33874647837976,0.999999712223997
"10342984",3.375,-0.540567948587729,0.565066998030908,-0.9566439917239,0.33874697651156,0.999999712223997
"10343510",3.625,0.502500466756516,0.543949158925662,0.923800429711096,0.35559023143067,0.999999712223997
"10340850",3.875,0.469485426096162,0.525106417393171,0.894076725298593,0.371280841280548,0.999999712223997
"10339401",3.875,0.469485426096162,0.525106417393171,0.894076725298592,0.371280841280548,0.999999712223997
"10338844",2.5,0.584962507241339,0.658496824866672,0.888330034635745,0.374363248277282,0.999999712223997
"10339085",2.5,0.584962507241339,0.658496824866672,0.888330034635745,0.374363248277282,0.999999712223997
"10339583",2.5,0.584962507241339,0.658496824866672,0.888330034635745,0.374363248277282,0.999999712223997
"10340088",2.5,0.584962507241339,0.658496824866672,0.888330034635745,0.374363248277282,0.999999712223997
"10341613",4.125,0.440572746321535,0.508148409647676,0.867015891335772,0.385933302660266,0.999999712223997
"10339254",4.125,0.440572746321534,0.508148409647676,0.867015891335771,0.385933302660266,0.999999712223997
"10341368",4.125,-0.44057223137276,0.508148420681309,-0.867014859127289,0.385933868214819,0.999999712223997
"10341119",4.125,-0.440572231372759,0.508148420681309,-0.867014859127288,0.38593386821482,0.999999712223997
"10552064",8.125,0.311944171011911,0.359982118351495,0.866554628992213,0.38618608208201,0.999999712223997
"10603469",11,-0.263034224385301,0.308862544142395,-0.851622281088362,0.394423768967186,0.999999712223997
"10338140",2.75,0.530514779632583,0.625594242761221,0.848017362325809,0.396428301470355,0.999999712223997
